StateName,StateCode,DistrictName,DistrictCode,SubDistrictName,SubDistrictCode,Constituency,VillageName,VillageCode,Year,Month,Count,Min,Max,Mean,Median
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,2,22,-5.1882,8.1392,1.4548,1.3187
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,3,21,-2.0161,12.0303,2.5976,1.4783
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,4,12,-7.4400,5.0000,0.0129,0.4438
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,9,15,-2.3448,4.9388,1.0237,1.2258
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,10,22,-4.6032,3.9625,0.1208,0.0819
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,11,29,-7.6868,6.5455,-0.5576,-1.0421
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,12,25,-2.2473,8.3163,1.8456,1.5053
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,1,26,-7.3529,4.9016,0.2626,0.5163
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,2,24,-9.9420,9.7125,-0.9378,-0.8657
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,3,18,-7.1864,13.0000,-0.4938,-0.6097
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,4,5,-0.9231,1.2105,0.6052,1.0417
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,9,4,-3.8571,-0.5000,-1.7379,-1.2973
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,10,19,-4.4286,3.0206,-0.1976,0.0556
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,11,28,-7.7241,2.6071,-1.2341,-0.8369
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2008,12,18,-7.5978,7.1778,0.0391,0.1266
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,1,28,-5.7790,4.3125,-0.3898,-0.3838
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,2,19,-7.4881,6.6452,-0.8234,-0.7797
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,3,2,-3.0577,3.3864,0.1643,0.1643
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,9,3,-2.4783,-0.6250,-1.4959,-1.3846
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,10,14,-4.2533,2.4783,-0.8503,-0.9730
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,11,20,-5.0118,3.4177,-0.3965,0.3418
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2009,12,19,-3.8267,3.8919,0.3916,0.3793
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,1,31,-8.5333,5.5670,-1.2133,-0.8889
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,2,21,-5.5294,1.9403,-1.1256,-1.1765
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,3,14,-4.0968,0.0862,-1.7544,-1.7817
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,4,8,-6.0370,3.7561,-2.4363,-2.6302
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,8,1,-0.4000,-0.4000,-0.4000,-0.4000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,9,12,-4.0882,10.0602,0.8083,0.4214
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,10,22,-9.0854,8.1231,-0.8277,-0.9946
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,11,27,-4.5357,8.6264,0.7958,-0.0562
